MINMDT,MAXMDT,RANGEMDT,MEANMDT,STDMDT,MINPENDI,MAXPENDI,RANGEPENDI,MEANPENDI,STDPENDI,MINDISN10M,MAXDISN10M,RANGEDISN10M,MEANDISN10M,STDDISN10M,MINCARRETN,MAXCARRETN,RANGECARRETN,MEANCARRETN,STDCARRETN,MINDISAUT,MAXDISAUT,RANGEDISAUT,MEANDISAUT,STDDISAUT,MINDISFERR,MAXDISFERR,RANGEDISFERR,MEANDISFERR,STDDISFERR,TJUVEN03,TJUVEN10,TJUVEN21,RMASCU03,RMASCU10,RMASCU21,IENVEJ03,IENVEJ10,IENVEJ21,IREEMP03,IREEMP10,IREEMP21,PRMEF03,HIJMUJ03,PRMEF10,HIJMUJ10,PRMEF21,HIJMUJ21,CARMAT03,CARMAT10,CARMAT21,Shape_Length,Shape_Area,AREAKM2,NHOSPI,NFARMA,NCENTEDUC,DISTHOSPIT,DISTFARMA,DISTATPRIM,VIVTUR21,PLA21,CBMAS30,COB3G,COB4G
65,552,487,220.690553,104.095285,0.0,31.196602,31.196602,11.105984,6.565275,10222.36131,18030.0433,7807.681992,14238.81231,1774.444489,2309.794799,7925.652934999999,5615.858136,5211.5589009999985,1368.464182,2536.012162,7879.639097,5343.626935,5252.117678000001,1356.134271,2705.68166,8746.590231999999,6040.908573,5749.752886,1469.249092,9.338521401,10.99526066,11.06870229,110.2249489,112.7016129,113.0081301,272.9166667,207.7586207,225.862069,100.0,171.4285714,210.5263158,46.21676892,11.50442478,81.85483871,10.34482759,35.16260163,16.76300578,4.424778761000001,6.157635468,7.514450867000001,21861.96808,25429618.19,25.42961884,0,1,0,13305.25679,6689.805575,1503.589655,9,79,0.6,0.98,0.98
-6,218,224,57.649513,42.324675,0.0,23.273787,23.273787,5.522714,4.048844,3627.160981,10322.17115,6695.010172,7050.115589,1466.34042,630.787888,7233.621663,6602.833775,3823.505434,1603.077539,711.327573,7398.792064,6687.464491,3933.699944,1619.715707,136.496047,6928.360484999998,6791.864438,3588.079635,1582.686909,12.22579702,14.321578,14.30312431,97.80156205,99.02450631,97.20340835,142.3444976,113.43906509999998,139.0395043,84.89010989,148.38709680000005,146.8325792,46.60109922,18.00124146,86.00999286,13.278008300000002,34.25824776,23.66071429,9.062693979,6.0304287689999985,11.54336735,24863.96655,24582482.05,24.58248138,0,2,4,6086.627482,3558.752869,1682.295735,156,814,0.99,1.0,1.0
-3,391,394,141.15611299999995,83.474135,0.122584,33.228851,33.106266999999995,8.968757,5.108402,7426.209531999999,17766.18496,10339.97543,11560.1422,2042.104968,642.0840450000002,7607.870873000002,6965.786828,4448.946061,1613.155484,1505.328834,8355.393331000001,6850.064497,5093.819928,1591.279749,29.899407,6952.335190000002,6922.435783,3612.649349,1563.328365,11.18854046,10.10830325,9.889208043,104.8374306,102.189781,107.5809199,215.2249135,236.1111111,277.1784232,89.74358974,178.4313725,220.4301075,45.20222046,14.73684211,69.9107867,9.280742458999999,32.79386712,14.02597403,6.842105263,3.712296984,5.454545455,37853.18126000001,46802069.06,46.80207062,0,0,2,9033.361309,4085.905018,1657.810817,64,322,0.96,1.0,1.0
203,942,739,467.78432,140.75588100000004,0.17336,37.476574,37.303214,14.057126,5.779102,12638.33971,18888.82245,6250.482731,15944.48864,1606.704112,2064.897847,5128.114337,3063.21649,3901.402279,686.708266,2976.319976,7164.904103,4188.584128,5300.48035,1047.948744,1981.811338,6228.468557,4246.657218,4319.904522,1062.857064,8.762886598,6.336088154,6.015037594,101.0362694,96.21621622,121.6666667,326.47058819999995,495.6521739,568.75,121.05263159999998,164.28571430000005,580.0,38.34196891,12.16216216,65.40540541,5.7851239670000005,27.5,15.15151515,2.702702703,2.4793388430000003,12.12121212,18095.00671,20968511.21,20.96851158,0,0,0,18892.14952,9992.467164,1794.658987,5,33,0.0,1.0,1.0
112,828,716,329.966152,142.75193000000004,0.122584,36.627811,36.50522700000001,12.574647,6.543079,11811.46806,17908.87573,6097.407663,15118.0062,1392.512381,1855.866321,8209.010547,6353.144227000002,4637.502394,1354.030563,3017.3955960000008,8966.576362,5949.180766,5651.981909,1432.076543,7856.948181999999,14249.65316,6392.704977,11335.25418,1545.857008,12.8975265,12.01754386,10.57312253,108.4714549,106.52173909999998,108.2304527,165.06849319999995,189.0510949,241.1214953,68.29268293,92.15686275,118.86792450000002,50.27624309,14.28571429,81.52173913,9.777777777999999,34.97942387,24.70588235,5.494505495,4.444444444,13.52941176,23378.85926,30035887.07,30.03588676,0,0,0,18897.89015,5427.973068,2070.778547,3,10,0.98,1.0,1.0
93,406,313,208.388603,59.292864,0.245168,25.827484,25.582316,9.556939,4.765916000000002,13821.1559,20377.30524,6556.1493340000015,16764.10692,1564.2108119999998,681.515184,5005.494757,4323.979573,2791.177644000001,993.633637,24.123004,4693.156596,4669.033592,2249.648415,1073.912891,1156.337951,5600.159683,4443.821731,3376.075789,962.969078,12.24242424,11.27733026,13.65591398,104.7146402,106.9047619,101.2987013,176.23762380000005,180.6122449,138.58267719999998,80.43478261,62.5,205.8823529,46.65012407,14.36170213,86.19047619,11.60220994,37.87878788,21.71428571,4.787234043,4.696132597,13.71428571,18946.55984,19880337.51,19.88033676,0,1,0,14609.44994,2782.80505,1710.234745,13,65,1.0,1.0,1.0
-6,902,908,244.335221,186.230875,0.122584,39.551285,39.4287,12.252008,7.292569999999999,18295.70685,30655.3326,12359.62575,24409.12885,2709.935942,25.177889,7905.058456000002,7879.880566,3210.455369,1889.763525,19.647525,8507.696403,8488.048878,3453.725533,1961.163345,27.659732,7118.506379,7090.846647,3266.47485,1569.379107,9.016727866,9.550561798,10.10662958,108.5957447,108.4684685,109.6209913,282.3529412,265.158371,274.31192660000005,76.12903226,176.9230769,233.3333333,46.80851064,11.27272727,74.95495495,9.735576923,33.91642371,14.32664756,5.090909091,4.807692308,8.88252149,50668.61551,97730952.07,97.7309494,0,0,2,22406.84786,3173.649654,2540.633788,53,346,1.0,1.0,1.0
2,710,708,221.39156,154.115443,0.122584,42.845379,42.722794,13.521795999999998,7.8870710000000015,5790.680639,13682.7489,7892.068262000002,8971.024140000001,1892.803896,7.619812,4578.718067,4571.098255,2178.055308,874.433641,2845.067381,10891.19503,8046.127645,6435.683771,1697.1684699999996,20.705519,6715.403716,6694.698197,2249.270292,1350.066283,12.81767956,14.1764284,13.55311355,104.6353872,104.0487805,100.4589261,156.46551719999997,132.20910619999998,158.7837838,88.88888889,132.5153374,120.5357143,47.65404183,19.6915777,87.26829268,13.24762437,33.63928408,18.14461119,8.896797153,6.036892119,9.004092769,35640.325939999995,32467579.9,32.46757889,0,1,0,9542.464781,5162.058774,2510.6787,38,250,1.0,1.0,1.0
132,1216,1084,576.39915,240.255629,0.0,45.805107,45.805107,16.547057000000002,8.424658,12476.23724,22462.80629,9986.56905,17407.61233,1843.192946,12.936351,10421.8262,10408.88984,4636.723312,2696.320154,28.382859000000003,9263.702483,9235.319624,4126.307534000001,2268.863466,52.92775,10861.02648,10808.09873,4954.033208,2641.067273,9.392838609,7.221609702,9.51262478,103.4846885,105.2036199,101.5384615,298.8950276,385.4961832,304.3209877,68.46153846,139.7435897,346.51162789999995,44.56177402,9.004739336,71.38009050000002,6.18066561,35.26627219,18.79194631,4.502369668,2.535657686,10.73825503,58755.39393,86761259.62,86.76126099,0,0,0,21078.3992,3115.216262,3711.504512,14,76,0.97,1.0,1.0
0,212,212,45.127607,51.746085,0.0,27.644512,27.644512,6.833467999999999,6.755605,1525.743531,5122.269401,3596.5258700000004,3376.41651,949.147817,3050.783798,5152.201588,2101.41779,4032.673666,501.091276,4037.734292,6191.334239,2153.599947,5158.556262,552.801035,3053.302067,5258.723229,2205.421162,4122.810344,540.818167,15.6360424,16.95730607,14.01308615,109.6296296,108.6574655,106.5315315,87.00564972,73.40425532,123.3463035,63.07692308,122.05882350000002,135.84905659999998,52.77777778,21.05263158,90.4642409,12.76005548,36.26126126,20.49689441,10.52631579,6.518723994,10.55900621,10356.63204,5572748.972,5.572749138,0,1,0,6245.39152,3052.190241,1077.7923119999996,23,119,1.0,1.0,1.0
