MINMDT,MAXMDT,RANGEMDT,MEANMDT,STDMDT,MINPENDI,MAXPENDI,RANGEPENDI,MEANPENDI,STDPENDI,MINDISN10M,MAXDISN10M,RANGEDISN10M,MEANDISN10M,STDDISN10M,MINCARRETN,MAXCARRETN,RANGECARRETN,MEANCARRETN,STDCARRETN,MINDISAUT,MAXDISAUT,RANGEDISAUT,MEANDISAUT,STDDISAUT,MINDISFERR,MAXDISFERR,RANGEDISFERR,MEANDISFERR,STDDISFERR,TJUVEN03,TJUVEN10,TJUVEN21,RMASCU03,RMASCU10,RMASCU21,IENVEJ03,IENVEJ10,IENVEJ21,IREEMP03,IREEMP10,IREEMP21,PRMEF03,HIJMUJ03,PRMEF10,HIJMUJ10,PRMEF21,HIJMUJ21,CARMAT03,CARMAT10,CARMAT21,Shape_Length,Shape_Area,AREAKM2,NHOSPI,NFARMA,NCENTEDUC,DISTHOSPIT,DISTFARMA,DISTATPRIM,VIVTUR21,PLA21,CBMAS30,COB3G,COB4G
117,1394,1277,784.7352099999998,233.924492,0.17336,46.501644,46.328284,20.298575,8.513073,57553.71527000001,73094.16082,15540.44556,67040.40562,3332.745043,17472.27809,43871.03056,26398.75247,31120.85308,5415.75339,17539.8913,43926.64293,26386.75163,31623.6877,5996.385881,17866.63381,42724.78327,24858.14946,32835.06513,5375.348561,8.231707317,5.908419498,6.1111111110000005,107.7828054,103.9156627,97.56097561,389.9470899,596.6666667000002,638.3838384,109.4488189,180.2469136,414.7058824,41.26696833,9.868421052999999,64.45783133,5.4517133960000015,24.75609756,15.7635468,4.166666667,2.647975078,8.866995074,118035.5183,342545260.3,342.5452576,0,1,2,16583.21167,5709.556279,5274.955751,2,13,0.0,0.96,0.94
271,2105,1834,1067.056635,382.986501,0.122584,61.203892,61.081307,22.556711,8.204898,7258.173695999999,38852.51561,31594.341910000006,22574.52517,7310.916587999999,4114.285974,26602.41115,22488.125180000006,14322.65954,5136.753584,2032.47844,35582.39235,33549.91391,17909.67816,7800.7480799999985,13.11673,16521.28815,16508.17142,5313.3772119999985,3528.866119,9.564248921,8.090923542,7.413493137000001,96.28364531,96.83979975,97.55585259,281.9505095,331.04125739999995,409.517601,75.2617801,152.15686269999995,320.4892966,41.8089903,12.7124183,68.52315394,6.689497717,29.8644262,15.34526854,5.980392157000001,3.0593607310000004,7.352941176,94295.88668,376401454.4,376.4014587,0,4,10,19974.83089,4971.806926,3961.940782,58,264,1.0,1.0,1.0
99,2393,2294,817.504449,455.771315,0.346717,67.186058,66.839341,25.832286,11.384265,39241.5632,60094.63122,20853.06801,49222.64266000001,5302.842339,18.69844,8830.674861,8811.976421,3121.1159620000008,1753.653459,15257.0272,29760.79608,14503.76889,22003.18147,3044.824209,7721.327493000002,26877.42885,19156.10135,16201.363919999998,4873.245249000001,7.4745186860000015,5.838509317000001,4.058441558,114.3203883,112.4010554,134.2205323,484.84848480000005,644.6808511,916.0,207.1428571,180.0,452.9411765,35.9223301,14.86486486,57.78364116,4.566210046,28.13688213,4.054054054,8.783783784,2.739726027,1.351351351,56655.78704,115041654.7,115.0416565,0,0,0,17540.295869999998,5485.216677,4285.074165,21,112,0.3,0.95,0.69
274,1113,839,506.502204,142.357363,0.122584,43.220619,43.098035,15.395220000000002,6.130982,7493.791483,16002.59366,8508.802179,11500.7808,2088.300666,2057.640625,8594.165144,6536.52452,5528.735857,1482.212336,2937.367981,10618.57809,7681.210111,6812.411976,1978.46966,2238.611919,6705.702066,4467.090147,4517.535001,1028.025195,8.217131474,7.708553326,8.279124778,90.51233397,91.12008073,93.25714286,395.1515152,393.1506849,380.7142857,92.78350515,181.0810811,365.0,33.39658444,12.5,62.46215943,8.400646204,28.57142857,16.8,6.818181817999999,4.36187399,9.6,25335.32226,32547337.85,32.54733658,0,1,8,10146.40817,6522.937789,2496.420733,9,51,0.17,1.0,1.0
33,1151,1118,493.553497,218.40688,0.0,42.763451,42.763451,17.966829999999995,7.593164,64500.07588,75686.23476,11186.15888,71738.9711,2111.033221,7158.367628,20840.59542,13682.22779,13984.93456,2891.9265920000007,7336.330158,20816.74911,13480.41895,13672.8237,3013.650025,7742.782072,21407.56893,13664.78686,13795.72042,2969.491485,7.2898799310000015,5.757261411,4.820936639,99.65753425,98.55818744,101.6666667,474.1176471,624.3243243,825.7142857000001,120.68965520000002,204.2253521,436.3636364,39.7260274,6.681034483,58.29042225,6.007067137999999,27.08333333,9.743589744,3.663793103,2.296819788,5.128205128,67868.58552000001,120459825.2,120.4598236,0,2,0,15694.48914,3757.152641,4305.153512,15,72,0.75,1.0,1.0
121,2596,2475,999.779328,557.785894,0.122584,66.704643,66.582059,24.836407,12.211255,52805.68752,66322.95662000001,13517.2691,61362.06884,3100.286564,5050.126136,19073.52984,14023.4037,13685.2744,2744.686819,5050.126136,25767.5048,20717.37866,16210.2604,4560.289929,5336.066233,25433.9514,20097.88517,15690.943180000002,4496.492138000001,8.505154639,7.234798047000001,8.650875386000001,102.7874564,105.0045496,101.2435233,358.5858586,400.6134969,364.2857143,63.56589147,215.0684932,366.0377358,42.85714286,9.959349592999999,69.24476797,7.095926413,28.911917100000004,17.92114695,5.081300813,3.285151117,7.885304659,70286.55359,238413253.2,238.4132538,0,2,0,31785.30903,6479.190928,3585.305486,72,323,0.0,0.98,0.49
70,1498,1428,679.949251,284.013225,0.0,49.374538,49.374538,21.856932,8.913985,23272.51248,44698.37215,21425.85967,35205.13804,4387.719672,3448.566925,25634.206680000007,22185.63976,15064.7647,5493.921905,1933.004965,24869.41341,22936.40845,14428.83231,5558.967932000001,6232.019735,30253.94719,24021.92746,21016.58294,5339.50091,7.0509766560000005,4.683038264,5.211952745,107.6162216,104.3173862,115.09715990000002,540.5405405,874.3902439,748.0,206.9444444,223.2142857,297.2972973,35.50939664,11.42061281,59.04317386,3.1620553360000003,30.94170404,15.4589372,5.292479108999999,2.56916996,5.797101449,78228.40416,208251041.9,208.2510376,0,1,12,25097.221530000006,7588.116517,5150.177328,12,57,0.0,1.0,0.0
-5,760,765,206.526033,168.89291200000005,0.0,41.914581,41.914581,12.47706,8.434728,64661.80191,72863.74749,8201.945579000001,68073.43952999999,1795.746407,17.829596,9120.381135,9102.55154,3835.077724,2624.901104,24.451131,8816.0353,8791.584169,3771.403125,2486.199962,21.073212,9626.969287,9605.896074,4303.052184,2744.056147,9.5703125,9.959584296000001,11.14130435,95.74003277,93.84443201,95.86043761,263.2653061,249.8550725,259.07859080000003,103.4482759,186.6666667,228.3185841,40.74276352,13.67292225,70.39731393,9.141494436,30.27794205,21.484375,7.506702412999999,4.6104928460000005,10.9375,54088.63795,66095060.78,66.09506226,1,1,2,4767.7481130000015,2922.540744000001,4179.076467,25,135,1.0,1.0,1.0
-3,1140,1143,221.565773,215.650076,0.0,47.244095,47.244095,12.522704,8.54398,26188.28208,37698.89088,11510.6088,31001.05945,2680.507891,22.484391,7419.651306000002,7397.166915000002,2998.556537,1932.991601,20.9622,7749.005325,7728.043126,3029.105808,1720.278226,5695.349947,18915.24698,13219.89703,11251.61699,3176.744024,5.581858958,7.120169402,6.798516687,96.33072407,96.46385855,97.799511,599.5535714,459.8513011,505.9090909,104.2056075,242.8571429,347.7272727,38.20939335,5.889884763,60.89443578,6.746370623,27.200489,11.91011236,3.457106274,3.757472246,6.516853932999999,44221.75083,96716154.86,96.71615601,0,3,8,12728.76866,14921.8327,4037.152714,95,509,1.0,1.0,1.0
163,565,402,343.693652,74.073432,0.17336,29.002913,28.829552000000003,12.615254,5.824683,14004.73492,24047.76658,10043.03166,19662.6217,2262.009859,2495.354675,7244.172922,4748.818248,5063.432779,1185.395442,4177.173293,11970.70203,7793.528740000002,8490.680546,1561.865945,2349.447831,9193.523853,6844.076022,5399.955904,1501.955479,5.8823529410000015,6.296296296,10.4410441,99.8245614,106.1068702,103.4798535,729.8507463,585.2941176,294.8275862,166.66666669999995,304.1666667,283.8709677,30.52631579,10.34482759,59.92366412,7.961783438999999,31.5018315,20.93023256,4.597701149,4.777070064,9.302325581,30213.83475,38376120.8,38.37612152,0,0,0,18123.16871,24357.02693,2594.114518,13,63,0.89,1.0,1.0
