CODMUNI;MINMDT;MAXMDT;RANGEMDT;MEANMDT;STDMDT;MINPENDI;MAXPENDI;RANGEPENDI;MEANPENDI;STDPENDI
33001;117;1394;1277;784.73521;233.924492;0.17336;46.501644;46.328284;20.298575;8.513073
33002;271;2105;1834;1067.056635;382.986501;0.122584;61.203892;61.081307;22.556711;8.204898
33003;99;2393;2294;817.504449;455.771315;0.346717;67.186058;66.839341;25.832286;11.384265
33004;-6;131;137;41.899237;34.009653;0;21.192459;21.192459;4.46616;3.501288
33006;274;1113;839;506.502204;142.357363;0.122584;43.220619;43.098035;15.39522;6.130982
33007;33;1151;1118;493.553497;218.40688;0;42.763451;42.763451;17.96683;7.593164
33008;121;2596;2475;999.779328;557.785894;0.122584;66.704643;66.582059;24.836407;12.211255
33005;70;1498;1428;679.949251;284.013225;0;49.374538;49.374538;21.856932;8.913985
33018;-5;760;765;206.526033;168.892912;0;41.914581;41.914581;12.47706;8.434728
33019;-3;1140;1143;221.565773;215.650076;0;47.244095;47.244095;12.522704;8.54398
33009;163;565;402;343.693652;74.073432;0.17336;29.002913;28.829552;12.615254;5.824683
33010;14;605;591;275.198808;140.521401;0.122584;43.954502;43.831918;14.370787;6.840181
33011;270;1981;1711;993.310401;323.735501;0.122584;55.307331;55.184747;22.299872;8.237832
33012;8;2406;2398;584.476656;501.371544;0;67.63073;67.63073;17.871719;9.768683
33013;-1;609;610;181.612339;141.751319;0.122584;37.325043;37.202458;12.165306;7.659462
33014;-7;268;275;92.503682;53.710338;0;26.819427;26.819427;6.954341;4.672917
33015;353;2054;1701;1104.827885;316.885899;0;62.070637;62.070637;23.241399;8.891302
33016;-4;427;431;105.900824;78.097085;0;34.079285;34.079285;7.2162;5.384409
33017;-3;1171;1174;284.549598;231.786131;0;40.955093;40.955093;12.486719;8.217516
33020;4;356;352;121.089871;63.338695;0;26.379967;26.379967;7.591642;4.729501
33021;-3;772;775;221.612712;154.642701;0;42.2271;42.2271;13.649952;8.757829
33030;74;609;535;285.202724;112.008524;0.245168;35.527523;35.282355;12.760793;6.327806
33022;583;1897;1314;1272.421242;258.882593;0.387641;46.070198;45.682557;22.999879;8.592478
33023;-4;887;891;233.452715;169.572353;0;37.005383;37.005383;10.474473;7.046423
33024;-7;648;655;123.193442;109.621404;0;39.698513;39.698513;8.030764;6.247509
33025;-5;138;143;55.709881;28.675823;0;30.510712;30.510712;5.560085;4.04844
33026;36;1415;1379;445.481379;254.159404;0;47.551918;47.551918;15.04779;7.946873
33027;186;1190;1004;622.910067;201.287171;0;46.779663;46.779663;17.106013;9.25415
33028;216;1941;1725;877.588167;316.293832;0.245168;50.781708;50.53654;21.496823;8.687875
33034;-2;1002;1004;313.88076;189.831829;0;44.043045;44.043045;16.40589;8.653797
33029;103;1171;1068;619.373821;260.416785;0;47.411987;47.411987;20.314364;8.559654
33031;169;991;822;397.700041;151.594785;0;43.099705;43.099705;14.502908;7.14533
33032;272;1527;1255;675.379138;232.036235;0;55.019657;55.019657;20.480522;8.458637
33033;257;2374;2117;1013.104514;391.576755;0.17336;61.617802;61.444441;21.701739;8.235971
33035;64;597;533;218.601908;75.96287;0;32.29668;32.29668;7.38081;5.437237
33036;-3;1168;1171;260.104792;234.612456;0;54.12896;54.12896;14.618239;11.019059
33037;157;1135;978;532.757629;199.317463;0;45.217941;45.217941;18.619633;7.40924
33038;131;1670;1539;571.103868;303.366415;0;58.580086;58.580086;20.637704;9.879086
33039;-4;165;169;76.606136;50.695706;0;36.813049;36.813049;8.090193;8.011026
33064;131;781;650;449.190404;144.074202;0.274105;56.3946;56.120494;20.554158;9.737771
33040;181;1274;1093;422.605884;214.765924;0.122584;49.315025;49.192441;11.683925;8.380532
33041;-4;804;808;149.265242;139.993693;0;35.672115;35.672115;8.781249;7.406493
33042;174;523;349;229.44351;63.426321;0.17336;20.67696;20.5036;4.955678;3.901831
33043;163;2041;1878;766.782573;454.654099;0.17336;59.177898;59.004538;17.537417;8.995365
33044;63;690;627;268.014482;108.440883;0;52.207024;52.207024;11.235362;7.322658
33045;7;1110;1103;327.106001;222.953354;0.122584;53.002876;52.880292;16.323438;9.043661
33046;47;1425;1378;612.841047;336.994957;0.274105;63.574615;63.30051;24.226741;11.507953
33047;10;1488;1478;409.392872;288.303706;0;61.42728;61.42728;20.161806;11.336167
33065;246;729;483;368.879045;111.389927;0;40.91592;40.91592;9.348504;7.225728
33066;68;722;654;270.396719;90.030591;0;42.148304;42.148304;7.50776;5.471986
33048;112;866;754;426.309911;162.87153;0.274105;50.255047;49.980941;20.9697;8.919242
33049;64;1395;1331;461.179843;242.469847;0.122584;50.43697;50.314385;17.647531;9.110136
33050;221;2101;1880;1007.815279;351.763891;0.346717;67.466537;67.11982;25.591703;10.531158
33051;-6;668;674;225.557576;139.876896;0;39.53088;39.53088;13.373897;7.210301
33052;180;1463;1283;702.263784;258.537487;0.122584;59.432625;59.31004;23.597134;9.790643
33053;326;2381;2055;1131.81795;377.444451;0.17336;67.959648;67.786288;21.363454;9.06678
33054;45;605;560;239.30347;108.692159;0.122584;43.09119;42.968606;10.925656;6.362051
33055;-7;570;577;118.64568;95.757458;0;37.879269;37.879269;9.527539;7.294311
33056;-7;849;856;170.660605;159.027902;0;49.746655;49.746655;13.755863;10.270901
33057;111;628;517;285.312092;123.925899;0.122584;43.380772;43.258187;14.549656;8.859962
33058;293;1749;1456;822.039906;381.05849;0.520068;56.314064;55.793996;20.524802;9.327192
33059;23;910;887;412.914116;186.72126;0;46.385128;46.385128;15.987885;8.071485
33060;223;1077;854;518.592826;171.482969;0;39.516788;39.516788;18.053742;6.708985
33061;187;1060;873;648.806149;163.190024;0.17336;44.730251;44.556891;16.517812;9.542071
33062;343;940;597;681.617719;120.197763;0.122584;40.498314;40.375729;14.533347;7.698363
33075;407;1177;770;808.726475;131.587105;0.17336;42.75787;42.584509;14.876375;8.188748
33063;12;651;639;243.452412;141.020337;0.346717;36.600067;36.25335;15.148581;6.601858
33067;357;1846;1489;873.005297;280.269793;0;58.576206;58.576206;22.812456;9.569356
33068;409;2165;1756;1299.64172;349.526146;0;62.827797;62.827797;23.980281;9.853931
