CODMUNI;MINDISN10M;MAXDISN10M;RANGEDISN10M;MEANDISN10M;STDDISN10M
33001;57553.71527;73094.16082;15540.44556;67040.40562;3332.745043
33002;7258.173696;38852.51561;31594.34191;22574.52517;7310.916588
33003;39241.5632;60094.63122;20853.06801;49222.64266;5302.842339
33004;32.521914;4214.956742;4182.434829;2048.988149;826.87457
33006;7493.791483;16002.59366;8508.802179;11500.7808;2088.300666
33007;64500.07588;75686.23476;11186.15888;71738.9711;2111.033221
33008;52805.68752;66322.95662;13517.2691;61362.06884;3100.286564
33005;23272.51248;44698.37215;21425.85967;35205.13804;4387.719672
33018;64661.80191;72863.74749;8201.945579;68073.43953;1795.746407
33019;26188.28208;37698.89088;11510.6088;31001.05945;2680.507891
33009;14004.73492;24047.76658;10043.03166;19662.6217;2262.009859
33010;9587.692854;22463.77016;12876.0773;16150.44927;2958.383269
33011;45673.04727;72445.01559;26771.96832;57016.94593;5797.104272
33012;38796.40637;61388.74;22592.33363;50146.75812;4748.016656
33013;36635.181;41137.47186;4502.290858;38687.83015;1076.910638
33014;5115.500144;11640.25239;6524.752247;8822.842601;1492.754051
33015;24106.15473;49696.66231;25590.50758;36626.40707;5707.099271
33016;2006.720159;10516.25421;8509.534053;6131.062698;2073.081179
33017;63583.29585;75828.22384;12244.92798;69381.03758;2506.287082
33020;2690.855721;10846.60453;8155.748808;6335.799231;2180.244601
33021;15898.61201;34752.62039;18854.00838;24780.65735;4323.87689
33030;4348.117363;10870.95505;6522.837689;7754.459593;1609.169541
33022;40764.59814;49406.29411;8641.69597;44794.7962;1826.096427
33023;69938.1385;77891.74616;7953.60766;74275.83841;1804.96928
33024;30.14991;11724.56616;11694.41625;6490.586817;2478.931973
33025;2889.754326;13945.86038;11056.10605;8296.619064;2736.298433
33026;10217.37388;35048.05491;24830.68104;21606.43784;5586.703162
33027;50183.87353;67017.81905;16833.94552;57449.56054;3946.459451
33028;39529.45769;62998.95056;23469.49288;51782.52819;5304.66316
33034;27225.37758;60656.50264;33431.12506;44694.42324;7761.495819
33029;62610.23449;73424.93629;10814.7018;68517.47798;2470.084997
33031;3572.523904;10718.47837;7145.954468;7827.91275;1505.529265
33032;12606.84227;24277.59271;11670.75043;18606.05274;2717.932481
33033;7012.766351;32909.27969;25896.51333;21175.21409;6513.112796
33035;1235.937399;12086.01656;10850.07916;7285.010285;2316.740862
33036;43259.74775;65915.24357;22655.49582;57961.73698;5178.937537
33037;15.063988;13669.70213;13654.63814;5552.250866;2824.996767
33038;5367.247913;15142.89453;9775.646612;10109.65779;2348.334121
33039;12359.70543;16144.16574;3784.460314;14100.23752;975.216146
33064;10380.37142;17630.87875;7250.507332;13910.83096;1714.71805
33040;8329.824189;20594.8585;12265.03431;14894.26584;2892.2984
33041;55951.91992;65911.04501;9959.125093;60887.50894;2389.513281
33042;1971.127221;8435.776825;6464.649605;4101.466028;1070.160845
33043;53969.74005;63584.15475;9614.4147;58444.42977;2274.13345
33044;48.667914;14434.30212;14385.6342;5820.697666;3056.804052
33045;32156.25262;46804.26704;14648.01442;38955.73289;2727.156473
33046;47619.49349;60008.5876;12389.09411;54351.1988;2815.917296
33047;38508.73229;54117.30545;15608.57317;44814.98014;3806.592533
33065;5880.454163;13584.29085;7703.836683;9344.172101;1951.728445
33066;24.41266;8958.023836;8933.611176;4784.810468;1912.073634
33048;58684.88263;67151.87072;8466.988093;63307.22015;1884.142499
33049;18395.79337;37895.47488;19499.68151;27867.99838;4634.939003
33050;34631.74624;55999.81633;21368.07009;46098.95462;5412.375446
33051;13020.41021;27051.8224;14031.4122;20138.48899;3430.178475
33052;15336.1135;26942.28675;11606.17326;21593.58974;2792.396651
33053;13308.32455;29371.98403;16063.65948;20710.87655;3727.291161
33054;6931.880451;16239.54596;9307.665505;11969.62352;2042.245192
33055;37725.63018;46958.32272;9232.692548;41978.41381;2169.199183
33056;38447.05327;55579.44006;17132.38679;47219.747;4174.750753
33057;3929.736326;11169.6264;7239.890077;7356.513071;1438.627376
33058;6068.11841;14294.86739;8226.748976;10806.25838;1903.437016
33059;20405.90485;39608.38603;19202.48118;30852.86144;4297.772991
33060;8567.10552;15789.57139;7222.465865;12236.92745;1479.097628
33061;52408.91231;64520.77364;12111.86134;58836.62756;2843.559605
33062;48163.2202;54269.54641;6106.326209;51264.53206;1349.362735
33075;52484.26551;64757.69522;12273.4297;58118.6963;3041.465309
33063;51933.68513;59312.38554;7378.700409;55628.91675;1659.771713
33067;21648.73049;29615.81347;7967.082984;25981.47259;1631.288218
33068;32000.74102;52364.27292;20363.53189;42693.51061;4771.96633
33076;5628.613745;28236.99389;22608.38015;17081.96979;5435.746889
33077;58667.89663;73317.87776;14649.98113;65445.23076;3586.034677
33078;20163.45607;29215.96953;9052.513461;24348.52949;2054.898744
33069;8165.384024;14518.50538;6353.121359;11405.35017;1419.61138
33070;70311.67609;78519.26603;8207.589943;75328.40673;2037.376263
33071;49603.31376;61716.85222;12113.53846;55307.20186;2956.913991
33072;24324.93645;38261.32712;13936.39067;30303.03427;3023.833403
33073;36983.94958;67144.26109;30160.31151;50966.74356;7013.388743
33074;58172.12877;68627.3926;10455.26384;63171.25497;2213.910353
40160;26809.06973;31817.17314;5008.103407;29005.13606;1208.635208
40168;29909.82386;33968.88769;4059.063821;32270.55169;853.958795
40170;35341.27399;56702.87036;21361.59636;48404.97879;4402.282042
40171;38915.56371;45194.50396;6278.940252;42084.42545;1645.52679
42027;18501.88082;25780.67912;7278.798306;22108.51268;1713.390385
42028;15410.28665;21075.4281;5665.141454;18151.32291;1245.641727
47014;28481.03818;31842.62712;3361.588938;30248.62255;803.001176
47022;29050.23681;34206.10395;5155.867134;31285.35301;1212.485877
47031;4416.315177;12342.14631;7925.831131;8053.229262;1925.134885
47032;19610.69989;23746.28336;4135.583472;21453.25;944.083759
47192;11400.00478;16513.78405;5113.779271;14155.94531;1221.360252
49059;20757.24485;26688.50318;5931.25833;23450.21137;1351.312203
49061;4443.958691;9450.30375;5006.345059;6846.161851;1218.774361
49090;11528.52492;17970.14132;6441.616403;14930.56375;1777.20861
49102;24581.5752;30615.84512;6034.269921;27633.51935;1457.287785
49205;14822.09941;23142.24514;8320.145736;19816.18629;1674.130746
49224;30579.27916;45354.89663;14775.61748;39017.12741;4256.491914
49225;26872.03442;36164.04374;9292.009322;30427.94614;1985.176975
49226;31923.50899;39200.7495;7277.240509;35565.55934;1858.406404
49227;2980.057009;7416.436815;4436.379806;5186.639433;1082.758208
49228;24258.23912;27551.39096;3293.151836;25783.25579;728.983917
40104;24148.28353;28253.79233;4105.508796;26597.6501;856.800394
9388;23326.78879;27452.88757;4126.098786;25070.48303;970.628333
9406;15437.12279;22020.96754;6583.84475;18812.89759;1549.409074
9407;35263.65865;39650.88972;4387.231062;37581.00622;1024.708836
9408;19099.46127;27782.94542;8683.484149;23762.35538;2350.257845
40055;24721.12974;30051.8693;5330.739564;27545.32938;1263.921395
40056;34482.07944;41054.66281;6572.583364;37332.47538;1625.386059
40059;18268.47525;22034.24694;3765.77169;20404.17443;700.423404
40060;41144.56684;47109.53215;5964.965306;44737.19944;1287.444965
40073;20112.48676;27123.11304;7010.626283;23679.94495;1634.282286
40074;15949.64149;19876.76126;3927.119771;18079.45203;863.902165
53073;18948.71311;22573.69448;3624.981367;20771.5428;827.660349
34181;11199.69773;17409.97187;6210.274142;14220.88586;1451.540286
5141;8701.492479;11849.2314;3147.738918;10380.38002;730.538994
37194;25348.29233;30103.37799;4755.085658;27862.65506;1091.808307
40083;35713.7705;43828.69689;8114.926388;39941.66282;1852.355867
40084;33360.79278;37178.30245;3817.509666;35491.09996;921.274971
5142;38577.06025;42828.86249;4251.802241;40879.46025;1004.45629
40086;28466.40444;34191.63879;5725.234348;31425.39946;1424.403063
40087;38423.78812;44674.40356;6250.615442;41640.30754;1484.680654
37213;10469.86871;14821.61009;4351.741387;12480.06568;923.379807
5151;39585.43366;47765.63771;8180.204042;43588.83037;1948.034502
5181;43408.43492;47885.89749;4477.462562;45501.43515;1125.743
37214;31986.75451;35137.35653;3150.602019;33858.62683;692.601852
