CODMUNI;MINCARRETN;MAXCARRETN;RANGECARRETN;MEANCARRETN;STDCARRETN;MINDISAUT;MAXDISAUT;RANGEDISAUT;MEANDISAUT;STDDISAUT;MINDISFERR;MAXDISFERR;RANGEDISFERR;MEANDISFERR;STDDISFERR
33001;17472.27809;43871.03056;26398.75247;31120.85308;5415.75339;17539.8913;43926.64293;26386.75163;31623.6877;5996.385881;17866.63381;42724.78327;24858.14946;32835.06513;5375.348561
33002;4114.285974;26602.41115;22488.12518;14322.65954;5136.753584;2032.47844;35582.39235;33549.91391;17909.67816;7800.74808;13.11673;16521.28815;16508.17142;5313.377212;3528.866119
33003;18.69844;8830.674861;8811.976421;3121.115962;1753.653459;15257.0272;29760.79608;14503.76889;22003.18147;3044.824209;7721.327493;26877.42885;19156.10135;16201.36392;4873.245249
33004;8.882536;3030.249096;3021.36656;1206.65709;639.815508;30.159684;5671.465399;5641.305715;1868.799672;1152.691669;16.012535;3342.218867;3326.206333;1191.538806;687.041
33006;2057.640625;8594.165144;6536.52452;5528.735857;1482.212336;2937.367981;10618.57809;7681.210111;6812.411976;1978.46966;2238.611919;6705.702066;4467.090147;4517.535001;1028.025195
33007;7158.367628;20840.59542;13682.22779;13984.93456;2891.926592;7336.330158;20816.74911;13480.41895;13672.8237;3013.650025;7742.782072;21407.56893;13664.78686;13795.72042;2969.491485
33008;5050.126136;19073.52984;14023.4037;13685.2744;2744.686819;5050.126136;25767.5048;20717.37866;16210.2604;4560.289929;5336.066233;25433.9514;20097.88517;15690.94318;4496.492138
33005;3448.566925;25634.20668;22185.63976;15064.7647;5493.921905;1933.004965;24869.41341;22936.40845;14428.83231;5558.967932;6232.019735;30253.94719;24021.92746;21016.58294;5339.50091
33018;17.829596;9120.381135;9102.55154;3835.077724;2624.901104;24.451131;8816.0353;8791.584169;3771.403125;2486.199962;21.073212;9626.969287;9605.896074;4303.052184;2744.056147
33019;22.484391;7419.651306;7397.166915;2998.556537;1932.991601;20.9622;7749.005325;7728.043126;3029.105808;1720.278226;5695.349947;18915.24698;13219.89703;11251.61699;3176.744024
33009;2495.354675;7244.172922;4748.818248;5063.432779;1185.395442;4177.173293;11970.70203;7793.52874;8490.680546;1561.865945;2349.447831;9193.523853;6844.076022;5399.955904;1501.955479
33010;60.844961;8494.587562;8433.7426;4934.875089;1889.818415;853.962232;8486.638918;7632.676685;5202.886446;1552.137619;8.252481;7373.173659;7364.921178;2711.723471;1502.392709
33011;16254.1862;46678.97209;30424.78589;35988.37255;7181.387035;15908.68269;44401.95402;28493.27133;34057.14168;6276.398689;9495.204104;40970.42162;31475.21751;26542.97871;7338.794836
33012;12.613093;12344.49044;12331.87734;5449.985438;3108.362806;1963.003576;26157.30003;24194.29646;12699.0186;5751.36638;197.889584;25385.42793;25187.53835;10708.40543;6290.550642
33013;10.310489;2643.466204;2633.155715;873.416051;567.480701;10.251293;3582.06094;3571.809646;1445.27345;841.398801;5653.168111;9855.256288;4202.088177;7595.445367;970.231107
33014;728.894741;8461.1528;7732.258059;5525.728738;1678.663287;39.098335;9394.587696;9355.489361;3904.551171;2035.251197;17.170478;4147.928403;4130.757925;2091.475694;1051.28376
33015;8629.208315;26972.65349;18343.44518;17702.19015;4396.39772;18230.48624;41769.74533;23539.25909;31386.41463;5162.623392;7815.841811;28405.66425;20589.82244;17405.24839;4757.586411
33016;11.619393;4970.185353;4958.56596;1908.789611;1192.718094;9.398468;5579.522913;5570.124445;2466.706654;1131.6806;33.174857;5411.494192;5378.319335;2152.382626;1197.322101
33017;18.724582;13495.54361;13476.81902;5960.540875;4012.912606;32.153329;18657.84561;18625.69228;7749.167007;4718.351946;23.806904;13482.55797;13458.75107;5451.495234;3881.167378
33020;896.050341;10064.55923;9168.508893;4901.295397;2221.143432;18.147011;5497.803606;5479.656595;1999.469928;1277.31876;38.867241;4750.535145;4711.667904;1850.133292;967.356377
33021;12.500521;7071.365636;7058.865115;1915.694697;1431.784897;30.379687;7507.769641;7477.389954;2414.312686;1565.143885;11.843665;6060.354096;6048.51043;1878.194906;1237.876158
33030;3222.379846;9038.59584;5816.215994;5871.741905;1224.986401;1115.662744;7952.127073;6836.464329;4703.519267;1550.132111;3264.82248;8896.699202;5631.876722;5919.611353;1177.25676
33022;33168.2477;41702.93184;8534.684134;37142.08153;1783.491278;24261.64648;35324.95924;11063.31276;28614.90455;2090.8043;6342.644213;23938.66784;17596.02363;13485.87273;3961.043451
33023;16.859802;11380.29154;11363.43174;4811.230591;3243.507103;40.741515;10444.17592;10403.43441;4371.599685;2674.656256;39.800514;11077.47113;11037.67061;4789.561771;2656.9735
33024;4.301442;9401.194255;9396.892813;3864.11031;2378.70103;7.509991;5917.798466;5910.288475;1981.124894;1189.943313;4.134795;10106.46266;10102.32786;3526.531455;2607.36132
33025;1725.993606;12141.28774;10415.29413;6992.126308;2501.678912;561.543729;12582.42888;12020.88515;6640.007019;2573.730519;121.279481;9993.042556;9871.763075;3785.46553;2046.211762
33026;21.850359;24425.8394;24403.98904;8051.560887;5784.868993;17.089974;23061.20259;23044.11262;7480.907769;5419.109695;39.738366;25392.17817;25352.4398;8925.855993;6089.032944
33027;21239.87012;35463.02736;14223.15724;28328.54342;3061.840619;31490.57409;41011.29565;9520.721564;36280.82325;1868.334144;27458.56488;38902.93647;11444.37159;33282.77772;2592.15455
