CODMUN;NOMBRE;ALTASTT2012;ALTASINT2012;ALTASEXT2012;BAJASTT2012;BAJASINT2012;BAJASEXT2012;SALDOTT2012;SALDOINT2012;SALDOEXT2012;ALTASTT2013;ALTASINT2013;ALTASEXT2013;BAJASTT2013;BAJASINT2013;BAJASEXT2013;SALDOTT2013;SALDOINT2013;SALDOEXT2013;ALTASTT2014;ALTASINT2014;ALTASEXT2014;BAJASTT2014;BAJASINT2014;BAJASEXT2014;SALDOTT2014;SALDOINT2014;SALDOEXT2014;ALTASTT2015;ALTASINT2015;ALTASEXT2015;BAJASTT2015;BAJASINT2015;BAJASEXT2015;SALDOTT2015;SALDOINT2015;SALDOEXT2015;ALTASTT2016;ALTASINT2016;ALTASEXT2016;BAJASTT2016;BAJASINT2016;BAJASEXT2016;SALDOTT2016;SALDOINT2016;SALDOEXT2016;ALTASTT2017;ALTASINT2017;ALTASEXT2017;BAJASTT2017;BAJASINT2017;BAJASEXT2017;SALDOTT2017;SALDOINT2017;SALDOEXT2017;ALTASTT2018;ALTASINT2018;ALTASEXT2018;BAJASTT2018;BAJASINT2018;BAJASEXT2018;SALDOTT2018;SALDOINT2018;SALDOEXT2018;ALTASTT2019;ALTASINT2019;ALTASEXT2019;BAJASTT2019;BAJASINT2019;BAJASEXT2019;SALDOTT2019;SALDOINT2019;SALDOEXT2019;ALTASTT2020;ALTASINT2020;ALTASEXT2020;BAJASTT2020;BAJASINT2020;BAJASEXT2020;SALDOTT2020;SALDOINT2020;SALDOEXT2020
01001;Alegría-Dulantzi;157;137;20;190;169;21;-33;-32;-1;177;152;25;136;128;8;41;24;17;139;128;11;203;189;14;-64;-61;-3;149;132;17;171;139;32;-22;-7;-15;220;197;23;186;172;14;34;25;9;199;180;19;230;216;14;-31;-36;5;212;192;20;213;197;16;-1;-5;4;233;193;40;191;190;1;42;3;39;193;180;13;197;186;11;-4;-6;2
01002;Amurrio;402;345;57;359;295;64;43;50;-7;441;392;49;359;297;62;82;95;-13;380;329;51;356;285;71;24;44;-20;316;262;54;329;277;52;-13;-15;2;337;271;66;303;239;64;34;32;2;327;241;86;317;269;48;10;-28;38;391;279;112;312;285;27;79;-6;85;340;227;113;387;311;76;-47;-84;37;373;312;61;308;255;53;65;57;8
01003;Aramaio;58;55;3;42;40;2;16;15;1;39;33;6;56;54;2;-17;-21;4;36;33;3;27;26;1;9;7;2;34;30;4;52;50;2;-18;-20;2;36;32;4;36;33;3;0;-1;1;31;29;2;48;44;4;-17;-15;-2;19;17;2;25;22;3;-6;-5;-1;34;19;15;54;48;6;-20;-29;9;58;45;13;32;32;0;26;13;13
01004;Artziniega;75;71;4;112;94;18;-37;-23;-14;83;78;5;93;85;8;-10;-7;-3;80;75;5;77;74;3;3;1;2;84;81;3;67;56;11;17;25;-8;84;74;10;93;88;5;-9;-14;5;115;103;12;106;102;4;9;1;8;105;89;16;104;101;3;1;-12;13;92;67;25;104;100;4;-12;-33;21;90;84;6;77;67;10;13;17;-4
01006;Armiñón;23;22;1;17;15;2;6;7;-1;28;24;4;18;18;0;10;6;4;17;17;0;21;21;0;-4;-4;0;20;20;0;26;26;0;-6;-6;0;17;16;1;11;11;0;6;5;1;6;6;0;24;23;1;-18;-17;-1;18;16;2;11;11;0;7;5;2;13;11;2;14;13;1;-1;-2;1;18;13;5;10;10;0;8;3;5
01008;Arrazua-Ubarrundia;64;60;4;69;64;5;-5;-4;-1;70;66;4;59;55;4;11;11;0;84;76;8;80;77;3;4;-1;5;59;57;2;71;67;4;-12;-10;-2;64;58;6;69;66;3;-5;-8;3;42;38;4;36;35;1;6;3;3;67;57;10;65;57;8;2;0;2;44;39;5;47;45;2;-3;-6;3;86;81;5;50;47;3;36;34;2
01009;Asparrena;58;52;6;70;63;7;-12;-11;-1;52;44;8;80;72;8;-28;-28;0;60;52;8;72;69;3;-12;-17;5;43;40;3;57;52;5;-14;-12;-2;76;64;12;57;49;8;19;15;4;80;73;7;77;76;1;3;-3;6;67;54;13;96;87;9;-29;-33;4;83;65;18;68;65;3;15;0;15;86;71;15;66;63;3;20;8;12
01010;Ayala/Aiara;113;106;7;112;104;8;1;2;-1;93;87;6;107;104;3;-14;-17;3;100;96;4;106;104;2;-6;-8;2;99;91;8;90;86;4;9;5;4;108;103;5;82;76;6;26;27;-1;88;80;8;91;85;6;-3;-5;2;129;121;8;112;104;8;17;17;0;138;127;11;126;124;2;12;3;9;123;116;7;128;124;4;-5;-8;3
01011;Baños de Ebro/Mañueta;10;6;4;5;5;0;5;1;4;14;8;6;8;8;0;6;0;6;12;9;3;21;5;16;-9;4;-13;12;9;3;15;14;1;-3;-5;2;26;22;4;25;24;1;1;-2;3;12;7;5;21;18;3;-9;-11;2;23;18;5;7;7;0;16;11;5;17;14;3;16;12;4;1;2;-1;14;14;0;19;11;8;-5;3;-8
01013;Barrundia;56;54;2;51;42;9;5;12;-7;48;48;0;51;46;5;-3;2;-5;42;40;2;53;48;5;-11;-8;-3;42;39;3;47;47;0;-5;-8;3;43;34;9;44;43;1;-1;-9;8;35;31;4;43;40;3;-8;-9;1;52;42;10;47;45;2;5;-3;8;34;33;1;38;35;3;-4;-2;-2;46;45;1;31;31;0;15;14;1
