CODNUCL;codMuni;CCAA;NOMBRE;CodProv;PROVINCIA;NombreCCAA;AREAMUN;AFECBLAN;AFECGRIS;CODMUN;Shape_Length_1;Shape_Area_1;KM2BLAN;KM2GRIS;PRMUNZB;PRMUNZG;POB21_ZB;CUEN_ZB;PRPZB21;Shape_Length;Shape_Area;POB21_ZG;CUEN_ZG;POB21;CBMAS30;CBMAS100;COB3G;COB4G
34070505181;05181;07;Pascualcobo;05;Ávila;Castilla y León;16.13792314;NO;SI;05181;24207.55647;16137923.14;0;0;0;0.063362972;0;0;0;24207.55647;16137923.14;41;1;41;0;0;1;0.9
34070505266;05266;07;Zapardiel de la Cañada;05;Ávila;Castilla y León;40.34861464;SI;NO;05266;28466.93573;40348614.64;0.00367122;0;0.009098752;2.348115118;85;2;100;28466.93573;40348614.64;0;2;85;0.54;0;0.57;0.94
34073737176;37176;07;Madroñal;37;Salamanca;Castilla y León;1.593757736;SI;SI;37176;6667.707807;1593757.736;0.000428878;0;0.026909846;0.142490709;0;0;0;6667.707807;1593757.736;136;1;136;1;0;1;1
34033333001;33001;03;Allande;33;Asturias;Principado de Asturias;342.5452603;SI;NO;33001;118035.5183;342545260.3;0.001683093;0;0.000491349;0;0;1;0;118035.5183;342545260.3;0;0;2032;0;0;0.96;0.94
34033333002;33002;03;Aller;33;Asturias;Principado de Asturias;376.4014544;SI;NO;33002;94295.88668;376401454.4;0.026321183;0;0.006992848;0;46;26;0.437096161155454;94295.88668;376401454.4;0;0;10524;1;0;1;1
34033333003;33003;03;Amieva;33;Asturias;Principado de Asturias;115.0416547;SI;NO;33003;56655.78704;115041654.7;0.000739543;0;0.000642848;0;370;57;51.3888888888889;56655.78704;115041654.7;0;0;720;0.3;0;0.95;0.69
34033333004;33004;03;Avilés;33;Asturias;Principado de Asturias;26.812638;SI;NO;33004;26157.82259;26812638;0.00034414;0;0.0012835;0;667;11;0.866537617086511;26157.82259;26812638;0;0;76973;1;1;1;1
34033333006;33006;03;Bimenes;33;Asturias;Principado de Asturias;32.54733785;SI;NO;33006;25335.32226;32547337.85;0.005533769;0;0.017002218;0;1181;132;52.2566371681416;25335.32226;32547337.85;0;0;2260;0.17;0;1;1
34033333007;33007;03;Boal;33;Asturias;Principado de Asturias;120.4598252;SI;NO;33007;67868.58552;120459825.2;0.01877852;0;0.015589031;0;74;9;4.06593406593407;67868.58552;120459825.2;0;0;1820;0.75;0;1;1
34033333008;33008;03;Cabrales;33;Asturias;Principado de Asturias;238.4132532;SI;NO;33008;70286.55359;238413253.2;0.002320186;0;0.000973178;0;0;0;0;70286.55359;238413253.2;0;0;1971;0;0;0.98;0.49
