CODPROV;CODMUN;NOMBRE;VIVTUR21;PLA21;PLAVT21
01;01001;Alegría-Dulantzi;3;14;4.67
01;01002;Amurrio;7;42;6
01;01003;Aramaio;0;0;0
01;01004;Artziniega;5;32;6.4
01;01006;Armiñón;2;14;7
01;01008;Arratzua-Ubarrundia;2;8;4
01;01009;Asparrena;1;8;8
01;01010;Ayala/Aiara;8;56;7
01;01011;Baños de Ebro/Mañueta;0;0;0
01;01013;Barrundia;1;3;3
01;01014;Berantevilla;0;0;0
01;01016;Bernedo;2;19;9.5
01;01017;Campezo/Kanpezu;3;24;8
01;01018;Zigoitia;8;48;6
01;01019;Kripan;0;0;0
01;01020;Kuartango;5;17;3.4
01;01021;Elburgo/Burgelu;3;9;3
01;01022;Elciego;5;29;5.8
01;01023;Elvillar/Bilar;1;6;6
01;01027;Iruraiz-Gauna;2;10;5
01;01028;Labastida/Bastida;5;36;7.2
01;01030;Lagrán;0;0;0
01;01031;Laguardia;17;110;6.47
01;01032;Lanciego/Lantziego;10;90;9
01;01033;Lapuebla de Labarca;8;57;7.13
01;01034;Leza;1;12;12
01;01036;Laudio/Llodio;2;10;5
01;01037;Arraia-Maeztu;6;39;6.5
01;01039;Moreda de Álava/Moreda Araba;1;8;8
01;01041;Navaridas;0;0;0
01;01042;Okondo;0;0;0
01;01043;Oyón-Oion;4;13;3.25
01;01044;Peñacerrada-Urizaharra;1;4;4
01;01046;Erriberagoitia/Ribera Alta;3;17;5.67
01;01047;Erriberabeitia;7;27;3.86
01;01049;Añana;5;47;9.4
01;01051;Agurain/Salvatierra;2;5;2.5
01;01052;Samaniego;3;23;7.67
01;01053;San Millán/Donemiliaga;5;35;7
01;01054;Urkabustaiz;2;11;5.5
01;01055;Valdegovía/Gaubea;7;56;8
01;01056;Harana/Valle de Arana;0;0;0
01;01057;Villabuena de Álava/Eskuernaga;1;7;7
01;01058;Legutio;5;20;4
01;01059;Vitoria-Gasteiz;135;445;3.3
01;01060;Yécora/Iekora;1;4;4
01;01061;Zalduondo;0;0;0
01;01062;Zambrana;1;7;7
01;01063;Zuia;7;38;5.43
01;01901;Iruña Oka/Iruña de Oca;1;1;1
01;01902;Lantarón;2;24;12
05;05001;Adanero;3;16;5.33
05;05002;Adrada, La;18;132;7.33
05;05005;Albornos;0;0;0
05;05007;Aldeanueva de Santa Cruz;0;0;0
05;05008;Aldeaseca;0;0;0
05;05010;Aldehuela, La;1;12;12
05;05012;Amavida;0;0;0
05;05013;Arenal, El;8;42;5.25
05;05014;Arenas de San Pedro;72;417;5.79
05;05015;Arevalillo;0;0;0
05;05016;Arévalo;17;92;5.41
05;05017;Aveinte;0;0;0
05;05018;Avellaneda;3;28;9.33
05;05019;Ávila;123;597;4.85
05;05021;Barco de Ávila, El;13;63;4.85
05;05022;Barraco, El;18;112;6.22
05;05023;Barromán;0;0;0
05;05024;Becedas;0;0;0
05;05025;Becedillas;0;0;0
05;05026;Bercial de Zapardiel;0;0;0
05;05027;Berlanas, Las;0;0;0
05;05029;Bernuy-Zapardiel;0;0;0
05;05030;Berrocalejo de Aragona;1;4;4
05;05033;Blascomillán;0;0;0
05;05034;Blasconuño de Matacabras;0;0;0
05;05035;Blascosancho;0;0;0
05;05036;Bohodón, El;0;0;0
05;05037;Bohoyo;2;12;6
