codMuni;CCAA;Nombre;CodProv;NombreProvincia;NombreCCAA;NHOSPI;NFARMA;NCENTEDUC;NATURGHOSP;NATPRIMARIA;DISTHOSPIT;DISTFARMA;DISTCEDUC;DISTCURGH;DISTATPRIM
1001;16;Alegría-Dulantzi;1;Araba/Álava;País Vasco;0;1;2;0;1;13243.11727;8105.104541;2609.754306;9790.487884;2661.540327
1002;16;Amurrio;1;Araba/Álava;País Vasco;0;4;6;1;1;24308.1441;11466.31865;3727.201496;5442.524424;3776.221905
1003;16;Aramaio;1;Araba/Álava;País Vasco;0;1;0;0;1;6041.577103;9441.041825;4271.741105;8713.460459;2902.56691
1004;16;Artziniega;1;Araba/Álava;País Vasco;0;2;0;0;1;21149.6413;1301.885496;8617.749843;8391.313642;2101.739841
1006;16;Armiñón;1;Araba/Álava;País Vasco;0;0;0;0;0;10805.4746;2394.581647;3950.40618;6468.294483;3511.013481
1008;16;Arratzua-Ubarrundia;1;Araba/Álava;País Vasco;0;0;0;0;1;9403.074543;4472.141934;7238.929745;5851.421041;3856.74092
1009;16;Asparrena;1;Araba/Álava;País Vasco;0;1;0;0;1;11690.31423;5905.239083;5747.663434;8068.002823;3762.791812
1010;16;Ayala/Aiara;1;Araba/Álava;País Vasco;0;1;0;0;2;23135.2364;6491.677119;6641.924818;7553.305687;4140.850487
1011;16;Baños de Ebro/Mañueta;1;Araba/Álava;País Vasco;0;0;0;0;0;6821.55673;4611.423528;8287.418418;5626.473309;2782.944932
1013;16;Barrundia;1;Araba/Álava;País Vasco;0;0;0;0;1;14618.74863;3856.053025;5255.08053;9609.803292;3566.962258
1014;16;Berantevilla;1;Araba/Álava;País Vasco;0;0;0;0;1;12024.64616;6395.89039;5857.68137;7118.708819;3049.812565
1016;16;Bernedo;1;Araba/Álava;País Vasco;0;1;0;0;1;14746.60355;3599.907113;9059.111585;12435.88422;5451.512849
1017;16;Campezo/Kanpezu;1;Araba/Álava;País Vasco;0;1;0;1;1;23506.67463;12139.37776;9599.543118;3981.216436;3266.662016
1018;16;Zigoitia;1;Araba/Álava;País Vasco;0;2;6;0;1;12915.94549;7372.431988;3892.154893;6409.94715;3365.836954
1019;16;Kripan;1;Araba/Álava;País Vasco;0;0;0;0;0;10412.73866;6758.094902;7413.257973;7495.50907;2429.521497
1020;16;Kuartango;1;Araba/Álava;País Vasco;0;0;0;0;1;20663.50215;4219.891947;7641.146697;10306.2469;4240.87078
1021;16;Elburgo/Burgelu;1;Araba/Álava;País Vasco;0;0;0;0;0;10803.00531;10970.71604;4989.875901;10065.27402;4031.617302
1022;16;Elciego;1;Araba/Álava;País Vasco;0;1;0;0;1;7846.413783;3024.511147;6408.687738;3491.52402;1436.683138
1023;16;Elvillar/Bilar;1;Araba/Álava;País Vasco;0;0;0;0;1;8196.986356;5810.261573;4283.026583;4206.767006;1807.971947
1027;16;Iruraiz-Gauna;1;Araba/Álava;País Vasco;0;0;0;0;0;16157.0807;3320.076691;4462.649093;7358.577764;4463.26062
1028;16;Labastida/Bastida;1;Araba/Álava;País Vasco;0;1;0;1;1;5513.428397;5995.499901;5416.388761;2930.341647;2268.748239
1030;16;Lagrán;1;Araba/Álava;País Vasco;0;0;0;0;0;6140.290172;5302.390692;8010.542552;8417.075372;5648.10041
1031;16;Laguardia;1;Araba/Álava;País Vasco;0;1;4;1;1;6190.634105;19096.88811;4096.809435;4125.035135;2551.803203
1032;16;Lanciego/Lantziego;1;Araba/Álava;País Vasco;0;1;0;0;1;9290.627804;4230.009031;6274.418559;6230.004515;2449.86248
1033;16;Lapuebla de Labarca;1;Araba/Álava;País Vasco;0;1;0;0;1;10128.08252;4356.865277;6717.330108;5863.456936;1286.316722
1034;16;Leza;1;Araba/Álava;País Vasco;1;0;0;0;1;1393.463418;2604.085765;4633.668479;4960.203497;1385.738007
1036;16;Laudio/Llodio;1;Araba/Álava;País Vasco;0;7;14;1;1;13630.90903;5174.979685;2484.285006;2738.099593;2070.669881
1037;16;Arraia-Maeztu;1;Araba/Álava;País Vasco;0;1;2;0;1;20618.41841;4966.109914;4329.059599;10298.36032;4365.793607
1039;16;Moreda de Álava/Moreda Araba;1;Araba/Álava;País Vasco;0;0;0;0;1;6872.483387;22318.83718;2846.648717;2809.762434;1262.927755
1041;16;Navaridas;1;Araba/Álava;País Vasco;0;0;0;0;0;4172.627835;6687.892749;4211.45607;4213.288878;2223.41467
1042;16;Okondo;1;Araba/Álava;País Vasco;0;1;2;0;1;11649.38596;9270.256963;2621.890726;5885.733203;2468.305962
1043;16;Oyón-Oion;1;Araba/Álava;País Vasco;0;1;2;1;1;8596.128313;1834.967605;4911.58433;4924.693687;2825.183981
1044;16;Peñacerrada-Urizaharra;1;Araba/Álava;País Vasco;0;0;0;0;1;8797.540663;6016.993348;10448.68518;8850.348403;3157.311447
1046;16;Erriberagoitia/Ribera Alta;1;Araba/Álava;País Vasco;0;0;0;0;1;15744.19967;6737.755831;8518.992865;7629.377297;3366.018966
1047;16;Erriberabeitia;1;Araba/Álava;País Vasco;0;1;0;0;1;9468.450654;4297.892405;3413.515642;5509.885591;2530.537759
1049;16;Añana;1;Araba/Álava;País Vasco;0;1;0;0;1;16171.60558;5409.055935;13857.28911;4813.474838;2200.986089
1051;16;Agurain/Salvatierra;1;Araba/Álava;País Vasco;0;1;2;1;1;18876.57483;3737.694293;2865.481886;3008.973658;3008.973658
1052;16;Samaniego;1;Araba/Álava;País Vasco;0;0;0;0;0;3283.812803;3441.041048;7457.324988;7734.954819;2404.610284
1053;16;San Millán/Donemiliaga;1;Araba/Álava;País Vasco;0;0;2;0;0;15694.33273;1419.469179;3980.099586;6678.782641;4873.160633
1054;16;Urkabustaiz;1;Araba/Álava;País Vasco;0;1;2;0;1;22593.4476;4191.960563;3540.096712;9201.254006;3619.025838
1055;16;Valdegovía/Gaubea;1;Araba/Álava;País Vasco;0;1;0;1;2;24996.41898;3915.034887;16826.83332;7748.526775;4533.754717
1056;16;Harana/Valle de Arana;1;Araba/Álava;País Vasco;0;0;0;0;0;20544.80486;5135.497612;10381.27787;9814.536618;5012.125641
1057;16;Villabuena de Álava/Eskuernaga;1;Araba/Álava;País Vasco;0;1;0;0;1;4449.874622;1809.499743;6493.459508;6291.381088;1294.523315
1058;16;Legutio;1;Araba/Álava;País Vasco;0;1;0;1;1;12192.26887;9554.471748;5672.63519;2817.850165;2317.115574
1059;16;Vitoria-Gasteiz;1;Araba/Álava;País Vasco;5;81;94;1;15;5955.866999;2543.401911;4650.920796;5407.544973;3866.098725
1060;16;Yécora/Iekora;1;Araba/Álava;País Vasco;0;0;0;0;1;9850.125798;4481.220594;6417.867592;6341.488787;2194.14065
1061;16;Zalduondo;1;Araba/Álava;País Vasco;0;0;0;0;0;13579.50115;7344.157708;5352.588729;6785.54523;3422.037821
1062;16;Zambrana;1;Araba/Álava;País Vasco;0;0;0;0;1;10136.8759;4267.320558;7579.338498;7093.603243;3516.368518
1063;16;Zuia;1;Araba/Álava;País Vasco;0;1;0;1;1;18387.83817;6481.2096;6660.743706;6960.812049;5539.455027
1901;16;Iruña Oka/Iruña de Oca;1;Araba/Álava;País Vasco;0;1;0;1;1;11225.46223;3429.498296;6569.384595;3062.949411;2954.503349
1902;16;Lantarón;1;Araba/Álava;País Vasco;0;0;0;0;2;10586.91452;6067.165841;9399.946457;5944.583739;2793.068852
5001;7;Adanero;5;Ávila;Castilla y León;0;0;2;0;1;14988.3203;5255.003166;2258.566921;13024.53017;2074.657681
5002;7;La Adrada;5;Ávila;Castilla y León;0;0;6;0;1;38081.92061;11398.70174;3943.620342;7108.600575;3602.681232
5005;7;Albornos;5;Ávila;Castilla y León;0;0;0;0;1;25548.84587;3974.162233;6911.55875;4206.438993;1487.43891
